k,n,n_wave
3,1030,417
3,1031,759
3,1032,554
3,1033,471
3,1034,554
3,1035,759
3,1036,759
3,1037,471
3,1038,471
3,1039,759
3,1040,759
3,1041,759
3,1042,471
3,1043,759
3,1044,419
3,1045,759
3,1046,419
3,1047,759
3,1048,759
3,1049,759
3,1050,554
3,1051,554
3,1052,471
3,1053,759
3,1054,759
3,1055,554
3,1056,759
3,1057,554
3,1058,554
3,1059,759
3,1060,471
3,1061,759
3,1062,554
3,1063,759
3,1064,554
3,1065,759
3,1066,759
3,1067,471
3,1068,759
3,1069,554
3,1070,759
3,1071,554
3,1072,554
3,1073,759
3,1074,554
3,1075,759
3,1076,554
3,1077,759
3,1078,471
3,1079,759
3,1080,759
3,1081,417
3,1082,759
3,1083,419
3,1084,471
3,1085,759
3,1086,759
3,1087,554
3,1088,759
3,1089,554
3,1090,554
3,1091,759
3,1092,759
3,1093,554
3,1094,554
3,1095,554
3,1096,554
3,1097,759
3,1098,471
3,1099,554
3,1100,759
3,1101,413
3,1102,759
3,1103,419
3,1104,554
3,1105,759
3,1106,554
3,1107,759
3,1108,554
3,1109,554
3,1110,759
3,1111,759
3,1112,554
3,1113,471
3,1114,554
3,1115,471
3,1116,759
3,1117,554
3,1118,419
3,1119,554
3,1120,759
3,1121,759
3,1122,471
3,1123,759
3,1124,759
3,1125,471
3,1126,471
3,1127,759
3,1128,554
3,1129,759
3,1130,759
3,1131,759
3,1132,419
3,1133,759
3,1134,759
3,1135,759
3,1136,759
3,1137,759
3,1138,554
3,1139,759
3,1140,759
3,1141,759
3,1142,759
3,1143,554
3,1144,759
3,1145,471
3,1146,759
3,1147,759
3,1148,759
3,1149,417
3,1150,554
3,1151,554
3,1152,419
3,1153,759
3,1154,419
3,1155,554
3,1156,759
3,1157,759
3,1158,759
3,1159,759
3,1160,417
3,1161,759
3,1162,471
3,1163,759
3,1164,419
3,1165,554
3,1166,471
3,1167,554
3,1168,578
3,1169,759
3,1170,759
3,1171,578
3,1172,554
3,1173,759
3,1174,578
3,1175,759
3,1176,471
3,1177,334
3,1178,759
3,1179,554
3,1180,759
3,1181,759
3,1182,471
3,1183,759
3,1184,759
3,1185,759
3,1186,759
3,1187,554
3,1188,578
3,1189,759
3,1190,578
3,1191,759
3,1192,578
3,1193,759
3,1194,759
3,1195,759
3,1196,759
3,1197,759
3,1198,759
3,1199,578
3,1200,578
3,1201,759
3,1202,759
3,1203,554
3,1204,759
3,1205,759
3,1206,759
3,1207,471
3,1208,759
3,1209,759
3,1210,554
3,1211,554
3,1212,759
3,1213,759
3,1214,554
3,1215,759
3,1216,759
3,1217,759
3,1218,578
3,1219,759
3,1220,578
3,1221,759
3,1222,759
3,1223,759
3,1224,759
3,1225,759
3,1226,759
3,1227,578
3,1228,554
3,1229,578
3,1230,759
3,1231,759
3,1232,578
3,1233,759
3,1234,759
3,1235,554
3,1236,759
3,1237,578
3,1238,759
3,1239,759
3,1240,759
3,1241,578
3,1242,578
3,1243,471
3,1244,578
3,1245,554
3,1246,578
3,1247,759
3,1248,578
3,1249,554
3,1250,759
3,1251,578
3,1252,554
3,1253,759
3,1254,759
3,1255,554
3,1256,759
3,1257,554
3,1258,759
3,1259,578
3,1260,759
3,1261,759
3,1262,759
3,1263,759
3,1264,759
3,1265,578
3,1266,578
3,1267,578
3,1268,471
3,1269,578
3,1270,578
3,1271,471
3,1272,759
3,1273,759
3,1274,759
3,1275,759
3,1276,759
3,1277,554
3,1278,471
3,1279,578
3,1280,759
3,1281,759
3,1282,578
3,1283,578
3,1284,554
3,1285,578
3,1286,471
3,1287,554
3,1288,578
3,1289,578
3,1290,578
3,1291,759
3,1292,759
3,1293,759
3,1294,759
3,1295,759
3,1296,554
3,1297,759
3,1298,578
3,1299,759
3,1300,578
3,1301,578
3,1302,554
3,1303,759
3,1304,578
3,1305,578
3,1306,759
3,1307,759
3,1308,759
3,1309,759
3,1310,759
3,1311,578
3,1312,578
3,1313,759
3,1314,578
3,1315,759
3,1316,578
3,1317,578
3,1318,578
3,1319,578
3,1320,759
3,1321,578
3,1322,759
3,1323,759
3,1324,759
3,1325,759
3,1326,578
3,1327,471
3,1328,554
3,1329,759
3,1330,578
3,1331,759
3,1332,578
3,1333,759
3,1334,759
3,1335,759
3,1336,471
3,1337,759
3,1338,578
3,1339,471
3,1340,578
3,1341,554
3,1342,554
3,1343,759
3,1344,759
3,1345,554
3,1346,578
3,1347,759
3,1348,759
3,1349,759
3,1350,759
3,1351,759
3,1352,578
3,1353,759
3,1354,554
3,1355,578
3,1356,759
3,1357,578
3,1358,419
3,1359,578
3,1360,759
3,1361,578
3,1362,759
3,1363,759
3,1364,759
3,1365,471
3,1366,759
3,1367,554
3,1368,759
3,1369,759
3,1370,759
3,1371,578
3,1372,759
3,1373,578
3,1374,759
3,1375,759
3,1376,578
3,1377,578
3,1378,759
3,1379,578
3,1380,578
3,1381,578
3,1382,759
3,1383,759
3,1384,759
3,1385,759
3,1386,759
3,1387,759
3,1388,554
3,1389,554
3,1390,578
3,1391,759
3,1392,759
3,1393,759
3,1394,578
3,1395,578
3,1396,759
3,1397,578
3,1398,578
3,1399,578
3,1400,759
3,1401,759
3,1402,759
3,1403,554
3,1404,471
3,1405,759
3,1406,578
3,1407,554
3,1408,759
