k,n,n_wave
10,707,992
10,708,992
10,709,992
10,710,992
10,711,992
10,712,992
10,713,992
10,714,992
10,715,992
10,716,992
10,717,992
10,718,992
10,719,992
10,720,992
10,721,992
10,722,992
10,723,992
10,724,992
10,725,992
10,726,992
10,727,992
10,728,992
10,729,992
10,730,992
10,731,992
10,732,992
10,733,992
10,734,992
10,735,992
10,736,992
10,737,992
10,738,992
10,739,992
10,740,992
10,741,992
10,742,992
10,743,992
10,744,992
10,745,992
10,746,992
10,747,992
10,748,992
10,749,992
10,750,992
10,751,992
10,752,992
10,753,992
10,754,992
10,755,992
10,756,992
10,757,992
10,758,992
10,759,992
10,760,992
10,761,992
10,762,992
10,763,992
10,764,992
10,765,992
10,766,992
10,767,992
10,768,992
10,769,992
10,770,992
10,771,992
10,772,992
10,773,992
10,774,992
10,775,992
10,776,992
10,777,992
10,778,992
10,779,992
10,780,992
10,781,992
10,782,992
10,783,992
10,784,992
10,785,992
10,786,992
10,787,992
10,788,992
10,789,992
10,790,992
10,791,992
10,792,992
10,793,992
10,794,992
10,795,992
10,796,992
10,797,992
10,798,992
10,799,992
10,800,992
10,801,992
10,802,992
10,803,992
10,804,992
10,805,992
10,806,992
10,807,992
10,808,992
10,809,992
10,810,992
10,811,992
10,812,992
10,813,992
10,814,992
10,815,992
10,816,992
10,817,992
10,818,992
10,819,992
10,820,992
10,821,992
10,822,992
10,823,992
10,824,992
10,825,992
10,826,992
10,827,992
10,828,992
10,829,992
10,830,992
10,831,992
10,832,992
10,833,992
10,834,1171
10,835,1171
10,836,1171
10,837,1171
10,838,1171
10,839,1171
10,840,1171
10,841,1171
10,842,1171
10,843,1171
10,844,1171
10,845,1171
10,846,1171
10,847,1171
10,848,1171
10,849,1171
10,850,1171
10,851,1171
10,852,1171
10,853,1171
10,854,1171
10,855,1171
10,856,1171
10,857,1171
10,858,1171
10,859,1171
10,860,1171
10,861,1171
10,862,1171
10,863,1171
10,864,1171
10,865,1171
10,866,1171
10,867,1171
10,868,1171
10,869,1171
10,870,1171
10,871,1171
10,872,1171
10,873,1171
10,874,1171
10,875,1171
10,876,1171
10,877,1171
10,878,1171
10,879,1171
10,880,1171
10,881,1171
10,882,1171
10,883,1171
10,884,1171
10,885,1171
10,886,1171
10,887,1171
10,888,1171
10,889,1171
10,890,1171
10,891,1171
10,892,1171
10,893,1171
10,894,1171
10,895,1171
10,896,1171
10,897,1171
10,898,1171
10,899,1171
10,900,1427
10,901,1427
10,902,1427
10,903,1427
10,904,1427
10,905,1427
10,906,1427
10,907,1427
10,908,1427
10,909,1427
10,910,1427
10,911,1427
10,912,1427
10,913,1427
10,914,1427
10,915,1427
10,916,1427
10,917,1427
10,918,1427
10,919,1427
10,920,1427
10,921,1427
10,922,1427
10,923,1427
10,924,1427
10,925,1427
10,926,1427
10,927,1427
10,928,1427
10,929,1427
10,930,1427
10,931,1427
10,932,1427
10,933,1427
10,934,1427
10,935,1427
10,936,1427
10,937,1427
10,938,1427
10,939,1427
10,940,1427
10,941,1427
10,942,1427
10,943,1427
10,944,1427
10,945,1427
10,946,1427
10,947,1427
10,948,1427
10,949,1427
10,950,1427
10,951,1427
10,952,1427
10,953,1427
10,954,1427
10,955,1427
10,956,1427
10,957,1427
10,958,1427
10,959,1427
10,960,1427
10,961,1427
10,962,1427
10,963,1427
10,964,1427
10,965,1427
10,966,1427
10,967,1427
10,968,1427
10,969,1427
